account_rewards,date
9834.313788379659,2024-05-15
-4682.001250938396,2024-05-16
-2265.439544193214,2024-05-17
5156.863777256105,2024-05-20
2695.6737265090924,2024-05-21
7578.016658000881,2024-05-22
-33724.18906314846,2024-05-23
-6509.0282717285445,2024-05-24
-14908.068858579616,2024-05-28
-2972.199651731411,2024-05-29
-14119.736977737513,2024-05-30
18571.51575993537,2024-05-31
-13027.24634763517,2024-06-03
7186.565323581686,2024-06-04
11297.086020141607,2024-06-05
-1817.5426641158992,2024-06-06
-8137.56859352882,2024-06-07
-2491.907337535871,2024-06-10
17315.167506881757,2024-06-11
11309.979520938941,2024-06-12
2858.5928249969147,2024-06-13
-5261.073136386927,2024-06-14
15480.789726257324,2024-06-17
8216.931074009044,2024-06-18
6077.572618392878,2024-06-20
615.6476739216596,2024-06-21
-1531.1951768341241,2024-06-24
-1620.8210936050164,2024-06-25
8036.244079601252,2024-06-26
11889.500186674064,2024-06-27
-3417.18507251353,2024-06-28
-7439.537277034717,2024-07-01
5325.004223265569,2024-07-02
6233.307187381783,2024-07-03
7813.237203028635,2024-07-05
443.4300382528454,2024-07-08
-16548.079447656637,2024-07-09
5509.339736999595,2024-07-10
-11083.362056579674,2024-07-11
10620.251334406901,2024-07-12
16434.202840230893,2024-07-15
-1778.2312299957266,2024-07-16
7684.683344664634,2024-07-17
-25843.895590200438,2024-07-18
4979.687482269364,2024-07-19
4001.5350874633295,2024-07-22
-19501.83115925407,2024-07-23
-9251.551777828252,2024-07-24
3919.140149750747,2024-07-25
6383.309259078931,2024-07-26
1538.3312286320142,2024-07-29
11750.760880027781,2024-07-30
-3957.3838113326347,2024-07-31
-36789.646774736466,2024-08-01
-939.3653488653945,2024-08-02
2132.4562431108207,2024-08-05
12923.56576501648,2024-08-06
-11118.393829317181,2024-08-07
17407.418167263037,2024-08-08
7117.41828865814,2024-08-09
9984.304137552273,2024-08-12
9967.096965011558,2024-08-13
